slug,url,name,category,category_slug,calories,protein_g,total_fat_g,total_carb_g,dietary_fiber_g,sugars_g,sodium_mg,cholesterol_mg,scraped_at
general-mills-cinnamon-toast-crunch-milk-n-cereal-bars-cinnamon-toast-crunch-cinnamon-toast-crunch,https://caloriedata.org/calories-in/general-mills-cinnamon-toast-crunch-milk-n-cereal-bars-cinnamon-toast-crunch-cinnamon-toast-crunch,"GENERAL MILLS, CINNAMON TOAST CRUNCH, MILK 'N CEREAL BARS, CINNAMON TOAST CRUNCH, CINNAMON TOAST CRUNCH",Grains & Cereals,grains,400.0,8.89,10.0,73.3,2.2,37.8,289.0,0.0,2026-05-04T03:05:05Z
goat-meat,https://caloriedata.org/calories-in/goat-meat,Goat Meat,Proteins & Meats,proteins,143.0,22.0,6.4,0.0,0.0,0.0,76.0,0.0,2026-05-04T03:05:05Z
goldfish-crackers,https://caloriedata.org/calories-in/goldfish-crackers,Goldfish Crackers,Snacks,snacks,460.0,9.5,18.0,62.0,2.0,3.5,740.0,0.0,2026-05-04T03:05:05Z
gouda-cheese,https://caloriedata.org/calories-in/gouda-cheese,Gouda Cheese,Dairy,dairy,356.0,27.0,27.0,2.2,0.0,0.0,819.0,0.0,2026-05-04T03:05:05Z
granola,https://caloriedata.org/calories-in/granola,Granola,Snacks,snacks,471.0,9.4,18.0,68.0,8.6,33.0,5.0,0.0,2026-05-04T03:05:06Z
granola-bar,https://caloriedata.org/calories-in/granola-bar,Granola Bar,Snacks,snacks,193.0,4.0,8.0,28.0,2.0,12.0,178.0,0.0,2026-05-04T03:05:06Z
grape,https://caloriedata.org/calories-in/grape,Grapes,Fruits,fruits,67.0,0.7,0.6,17.0,0.9,16.0,3.0,0.0,2026-05-04T03:05:06Z
grapefruit,https://caloriedata.org/calories-in/grapefruit,Grapefruit,Fruits,fruits,42.0,0.8,0.1,11.0,1.6,7.0,0.0,0.0,2026-05-04T03:05:06Z
grapes,https://caloriedata.org/calories-in/grapes,Grapes,Fruits,fruits,67.0,0.7,0.6,17.0,0.9,16.0,3.0,0.0,2026-05-04T03:05:06Z
greek-yogurt,https://caloriedata.org/calories-in/greek-yogurt,Greek Yogurt,Dairy,dairy,59.0,10.0,0.4,3.3,0.0,2.8,41.0,0.0,2026-05-04T03:05:07Z
green-tea,https://caloriedata.org/calories-in/green-tea,Green Tea,Beverages,beverages,2.0,0.2,0.0,0.4,0.0,0.0,2.0,0.0,2026-05-04T03:05:07Z
ground-beef,https://caloriedata.org/calories-in/ground-beef,Ground Beef,Proteins & Meats,proteins,250.0,26.0,17.0,0.0,0.0,0.0,75.0,0.0,2026-05-04T03:05:07Z
grouper,https://caloriedata.org/calories-in/grouper,Grouper,Proteins & Meats,proteins,95.0,19.0,1.3,0.0,0.0,0.0,64.0,0.0,2026-05-04T03:05:07Z
